Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C24, C26, C3",0402,6,1uF,C77009
"C10, C11, C15, C16, C17, C18, C20, C21, C22, C25, C28, C30, C31, C32, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C6",0201,26,100nF,GRM033R61A104ME15
"C114, C115",0402,2,10uF,C408132
C12,0402,1,18pF,C33149
"C19, C23",0402,2,4.7uF,C2858031
"C2, C27, C7, C8, C9",0603,5,10uF,C197020603
"C29, C33",0402,2,10nF,C91601
C4,0201,1,1uF,C274414
D1,LED_APTB1615SURKCGKC-F01,1,APTB1615SURKCGKC-F01,C5879208
FB2,0603,1,100Ω@100MHz,C3717002
FB6,BLM15KD121SN1D,1,120Ω@100MHz,C710343
IC1,BQ24040DSQT,1,BQ24040DSQT,C2876332
J2,527461271,1,52746-1271,C588231
J3,microSD_HC_Molex_104031-0811,1,1040310811,C585350
J4,SAMTEC_SS5_10_3.00_X_D_K_XX,1,SS5-10-3.00-L-D-K-TR,C7087204
J5,GTC_USB4745,1,USB4745-03-A,C2911517
J8,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,2,SM02B-SURS-TF(LF)(SN)
L9,DFE2MCAH2R2MJ0L,1,2.2uH,C2045354
R1,0402,1,1.1k,C853096
"R10, R11, R13, R14, R17, R20, R28, R31, R34, R38, R39, R63, R8",0201,13,10k,C20021044
"R12, R6",0402,2,1k,C242161
"R15, R16",0402,2,5.1k,C278598
R18,0402,1,6.65k,C185400
"R19, R21",RESC1005X40N,2,280,C273692
R2,0402,1,2k,C853619
"R22, R29",0402,2,10k,C191123
R23,0402,1,100,C413063
"R24, R3, R4, R51",0402,4,0,C17168
"R25, R26, R27, R30",0402,4,100k,C192169
"R32, R33",0402,2,22,C413049
R35,0402,1,220k,C413112
"R36, R37, R41, R42, R43, R44, R45, R47, R48, R49, R5, R52, R53, R54, R55, R56, R57, R58, R59, R60",0201,20,22,C20021234
"R40, R61, R62",0201,3,100k,C20021045
R46,0201,1,2.2k,C20021223
R7,0402,1,1M,C413126
R9,0201,1,12k,C20021084
"SW3, SW4",SW_SPST_B3U-1000P,2,Button Switch SPST-No,C231329
U1,Texas_DSBGA-6_0.9x1.4mm_Layout2x3_P0.5mm,1,TPS62840YBGR,1.5MHz-2.5MHz
U10,MSOP8_MC_MCH,1,93LC66B-I/MS,93LC66B-I/MS
U12,SOT-363_SC-70-6,1,SN74LVC1T45DCK,
"U13, U2",Texas_R-PUQFN-N12,2,TXB0104RUT,
U3,SiWG917Y,1,SiWG917Y,~
U4,QFN-56_FT232HPQ_FTD,1,FT232HPQ,C3227934
U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSV,C5267399
"U6, U8",UQFN-16_1.8x2.6mm_P0.4mm,2,SN74AXC4T774RSVR,C1849454
U7,SOIC_clipProgSmall,1,SOIC_clipProgSmall,
U9,UQFN-16_1.8x2.6mm_P0.4mm,1,PCAL6408AHK,C5203525
Y1,SIT1552AIJEDCC32768E,1,SIT1552AI-JE-DCC-32.768E,C7464055
Y2,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,1,ASCO-12.000MHZ-EK-T3,ASCO-12.000MHZ-EK-T3
