Designator,Mid X,Mid Y,Rotation,Layer
C1,169.0,-89.8,180.0,top
C10,171.9,-91.9,270.0,top
C11,135.705,-98.2,0.0,top
C114,124.075,-104.54,180.0,bottom
C115,125.225,-107.025,0.0,bottom
C12,160.5,-108.45,180.0,bottom
C13,160.5,-107.5,180.0,bottom
C14,165.95,-94.3,0.0,top
C15,167.2,-96.5,180.0,top
C16,137.155,-98.2,180.0,top
C17,169.4,-95.0,90.0,top
C18,159.525,-101.25,180.0,bottom
C19,148.275,-107.7,90.0,bottom
C2,141.91,-92.165,180.0,top
C20,149.165986,-104.730281,270.0,bottom
C21,161.05,-103.3,180.0,bottom
C22,155.925,-107.675,0.0,bottom
C23,150.77,-107.65,0.0,bottom
C24,165.975,-91.125,0.0,top
C25,161.25,-92.2,270.0,bottom
C26,165.95,-92.05,0.0,top
C27,176.15,-107.55,270.0,bottom
C28,163.57,-91.95,0.0,bottom
C29,167.95,-109.425,180.0,bottom
C3,167.15,-89.8125,0.0,top
C30,133.4375,-95.4925,180.0,bottom
C31,131.6875,-95.0925,90.0,bottom
C32,133.65,-99.25,90.0,bottom
C33,166.275,-108.64,270.0,top
C34,132.1,-99.3,90.0,bottom
C35,151.65,-93.9,0.0,bottom
C36,151.65,-94.65,0.0,bottom
C37,139.9125,-92.415,90.0,bottom
C38,138.1,-92.6,180.0,bottom
C39,144.925,-92.915,0.0,top
C4,173.7,-106.55,180.0,bottom
C40,129.575,-94.4,270.0,bottom
C41,152.4,-108.3,180.0,bottom
C42,133.0,-103.425,90.0,top
C43,133.75,-103.425,90.0,top
C44,146.975,-106.4,180.0,bottom
C6,168.75,-96.325,180.0,top
C7,140.01,-89.915,270.0,top
C8,138.35,-87.4,180.0,top
C9,170.7,-91.55,270.0,top
D1,131.9,-111.225,0.0,top
FB2,124.625,-105.775,180.0,bottom
FB6,138.05,-89.15,180.0,top
IC1,168.2,-87.9375,180.0,top
J2,165.5,-87.0,180.0,bottom
J3,168.57,-99.275,90.0,bottom
J4,126.725,-99.99,270.0,bottom
J5,174.124959,-99.090391,90.0,top
J8,132.075,-88.05,180.0,top
L9,141.535,-87.265,180.0,top
M1,126.0,-111.0,0.0,top
M2,126.0,-89.0,0.0,top
M3,174.0,-89.0,0.0,top
M4,174.0,-111.0,0.0,top
R1,170.65,-89.05,270.0,top
R10,171.325,-108.325,0.0,bottom
R11,171.325,-109.3,90.0,top
R12,153.0,-95.6,270.0,bottom
R13,172.2,-107.1,90.0,bottom
R14,170.3,-93.8,90.0,top
R15,168.4,-104.75,180.0,top
R16,170.55,-106.75,0.0,bottom
R17,164.15,-109.25,90.0,bottom
R18,169.3,-91.35,270.0,top
R19,131.6,-109.625,180.0,top
R2,170.65,-87.15,90.0,top
R20,168.2,-91.8,90.0,top
R21,131.575,-112.825,180.0,top
R22,165.8,-87.7,90.0,top
R23,140.85,-112.35,0.0,top
R24,166.6,-107.85,270.0,bottom
R25,126.82,-93.64,270.0,bottom
R26,165.775,-109.445,180.0,bottom
R27,166.25,-106.69,270.0,top
R28,169.8,-100.6,90.0,top
R29,131.45,-104.85,270.0,top
R3,144.38,-91.965,0.0,top
R30,128.65,-94.5,270.0,bottom
R31,168.3,-103.5,90.0,top
R32,160.95,-97.8,180.0,bottom
R33,160.7,-94.95,180.0,bottom
R34,171.35,-109.05,0.0,bottom
R35,128.675,-92.55,270.0,bottom
R36,131.03,-100.43,180.0,bottom
R37,131.82,-102.8,180.0,bottom
R38,170.05,-97.1,0.0,top
R39,136.455,-94.35,180.0,top
R4,144.182896,-87.861685,0.0,top
R40,167.4,-91.8,90.0,top
R41,130.39,-101.92,180.0,bottom
R42,134.75,-101.6,180.0,bottom
R43,145.3,-107.5,180.0,top
R44,145.359999,-101.941,180.0,top
R45,145.25,-103.05,180.0,top
R46,170.575,-109.25,90.0,top
R47,165.7,-99.05,0.0,top
R48,168.9,-101.75,0.0,top
R49,170.1,-98.075,0.0,top
R5,131.03,-101.19,180.0,bottom
R51,135.05,-89.85,270.0,top
R52,170.1,-98.8,0.0,top
R53,170.125,-99.55,0.0,top
R54,157.525,-95.75,0.0,bottom
R55,148.15,-101.75,0.0,bottom
R56,153.175,-97.1,0.0,bottom
R57,165.75,-101.1,0.0,top
R58,165.725,-102.975,0.0,top
R59,165.65,-104.625,0.0,top
R6,169.3,-93.25,270.0,top
R60,167.5,-91.9,180.0,bottom
R61,138.45,-97.05,0.0,top
R62,132.5,-93.7,90.0,bottom
R63,134.805,-94.25,0.0,top
R7,175.975,-105.5,180.0,top
R8,154.475,-107.625,0.0,bottom
R9,159.45,-102.75,0.0,bottom
SW3,144.45,-112.25,90.0,top
SW4,137.0,-112.25,270.0,top
U1,142.6,-89.9,90.0,top
U10,171.8,-106.8,0.0,top
U12,138.7625,-94.1,180.0,bottom
U13,132.5125,-97.0925,0.0,bottom
U2,132.895,-101.195,0.0,bottom
U3,155.55,-96.975,0.0,top
U4,154.2,-102.55,180.0,bottom
U5,135.9925,-96.275,0.0,top
U6,155.05,-95.6,0.0,bottom
U7,166.065,-112.1225,0.0,top
U8,167.9,-98.775,0.0,top
U9,133.5,-106.2,0.0,top
Y1,146.85,-109.815,180.0,top
Y2,147.65,-105.15,270.0,bottom
